Grid Width,Grid Length,Evader X,Evader Y,Pursuer X,Pursuer Y,Target X,Target Y,Obstacle4 X,Obstacle4 Y,Obstacle5 X,Obstacle5 Y,Obstacle6 X,Obstacle6 Y,Obstacle7 X,Obstacle7 Y,Obstacle8 X,Obstacle8 Y,Obstacle9 X,Obstacle9 Y,Pursuit Success
7,7,1,1,0,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,0,1,0,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,1,1,0,5,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,0,1,1,5,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,0,0,1,5,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,1,0,1,4,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,1,1,1,4,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,2,1,1,3,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,3,1,1,3,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,3,2,2,3,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,3,2,2,2,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,3,3,3,2,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,3,4,3,3,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,3,4,3,3,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,4,4,3,3,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,4,5,3,4,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,5,5,3,5,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,5,6,3,5,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,6,6,3,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,6,6,4,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,6,6,5,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,6,6,5,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,False
7,7,6,6,6,6,6,3,2,4,1,2,0,4,5,4,2,0,4,2,True
