Grid Width,Grid Length,Evader X,Evader Y,Pursuer X,Pursuer Y,Target X,Target Y,Obstacle4 X,Obstacle4 Y,Obstacle5 X,Obstacle5 Y,Obstacle6 X,Obstacle6 Y,Obstacle7 X,Obstacle7 Y,Obstacle8 X,Obstacle8 Y,Obstacle9 X,Obstacle9 Y,Obstacle10 X,Obstacle10 Y,Obstacle11 X,Obstacle11 Y,Obstacle12 X,Obstacle12 Y,Pursuit Success
7,7,0,0,3,6,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,0,0,2,6,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,0,2,6,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,0,2,6,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,0,2,6,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,0,1,6,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,1,1,5,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,0,1,5,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,2,0,1,4,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,1,0,1,4,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,2,0,1,4,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,2,0,1,3,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,3,0,1,3,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,3,1,1,2,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,3,1,1,2,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,3,1,2,2,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,3,1,3,2,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,False
7,7,3,2,3,2,6,3,0,4,2,1,2,3,4,5,3,3,5,0,5,3,2,5,4,1,True
